,Municipio,Localidad,Coordenadas,Unnamed: 3,Muestra,FECHA DE MUESTREO ,pH,Conductividad (μs/cm),As (μg/L),Flúor (mg/L),Na+ (mg/L),K+    (mg/L),Fe+ (mg/L),Ca+ (mg/L),Mg+ (mg/L),NO3- (mg/L),Cl- (mg/L), CO3-2 (mg/L),HCO3- (mg/L),Alcalinidad total                (mg CaCO3/L),SO4,Tipo de Agua
0,,,Longitud,Latitud,,,,,,,,,,,,,,,,,,
81,Durango,Feria Viejo Pozo,-104.67052,24.01656,140.0,2018-01-25,7.885,239.6,25.9825,3.8515499999999996,26.975,3.505,,21.439999999999998,0.495,6.54995,3.4337,0.0,99.0,99.0,13.86015,BICARBONATADA SODICA
82,Durango,Juan Villalobos Pozo,-104.68227,24.03524,141.0,2018-01-25,8.15,277.85,25.082,3.53285,31.405,3.15,,26.325,0.365,11.92745,6.32385,0.0,103.95,103.95,17.747100000000003,BICARBONATADA SODICA
83,Durango,Valle del Sur Pozo,-104.68165,24.00965,142.0,2018-01-25,8.26,235.5,30.156,3.9669,29.67,2.1950000000000003,,19.85,0.12,6.44525,3.6119,0.0,99.0,99.0,14.545850000000002,BICARBONATADA SODICA
84,Durango,Virgen Pozo,-104.68937,24.02838,143.0,2018-01-25,8.3,215.25,33.5875,4.1955,28.075000000000003,2.0,,17.515,0.095,4.4788,2.9967,0.0,89.10000000000001,89.10000000000001,12.97505,BICARBONATADA SODICA
85,Nazas,Nazas,-104.11991,25.22352,144.0,2018-02-08,7.195,916.3,10.584,1.1400000000000001,79.2055,7.425000000000001,,106.7145,9.525,22.22,21.609,0.0,316.80000000000007,316.80000000000007,107.3665,BICARBONATADA CALCICA Y/O MAGNESICA
86,Nazas,Benito Juárez,-104.2054,25.19206,145.0,2018-02-08,7.475,689.7,6.1615,0.4875,56.791,5.615,,82.11699999999999,8.365,3.52195,10.10925,0.0,257.40000000000003,257.40000000000003,77.2568,BICARBONATADA CALCICA Y/O MAGNESICA
87,Nazas,Paso Nacional,-104.01999,25.26546,146.0,2018-02-08,7.33,2500.0,15.395,1.17,283.5,9.43,,177.615,58.365,59.861000000000004,76.6115,0.0,247.50000000000003,247.50000000000003,931.112,SULFATADA Y/O CLORURADAS CALCICAS Y/O MAGNESICAS
88,Nazas,Lázaro Cárdenas,-103.9979,25.29312,147.0,2018-02-08,7.21,2638.5,5.125500000000001,0.592,242.5,8.690000000000001,,170.87,62.705,141.1305,157.9475,0.0,207.9,207.9,954.325,SULFATADA Y/O CLORURADAS CALCICAS Y/O MAGNESICAS
89,Nazas,Emilio Carranza,-103.94454,25.26043,148.0,2018-02-08,7.355,1486.5,5.000500000000001,0.47550000000000003,199.8,5.455,,146.35,21.634999999999998,50.5875,51.9965,0.0,277.2,277.2,317.045,SULFATADA Y/O CLORURADAS CALCICAS Y/O MAGNESICAS
90,Lerdo,Picardías,-103.48916,25.32362,149.0,2018-02-08,7.460000000000001,1085.5,32.9645,0.733,105.1,8.47,,81.2975,28.57,22.249499999999998,53.50750000000001,0.0,247.50000000000003,247.50000000000003,301.0905,SULFATADA Y/O CLORURADAS CALCICAS Y/O MAGNESICAS
91,Lerdo,Nazareno,-104.205787,25.19216,150.0,2018-02-08,7.324999999999999,1658.0,7.922000000000001,0.9804999999999999,179.15,9.530000000000001,,146.12,40.96,226.5885,114.0205,0.0,207.9,207.9,366.1745,SULFATADA Y/O CLORURADAS CALCICAS Y/O MAGNESICAS
92,Lerdo,Lerdo,-103.53107,25.50494,151.0,2018-02-08,7.53,664.35,9.502500000000001,0.2955,47.4865,5.615,,72.2785,16.009999999999998,21.106450000000002,19.08085,0.0,227.7,227.7,127.2757,BICARBONATADA CALCICA Y/O MAGNESICA
93,Lerdo,Cd Juárez,-103.59592,25.49591,152.0,2018-02-08,7.445,822.0,12.914,0.361,80.019,6.02,,83.039,17.415,36.05499999999999,29.1345,0.0,277.2,277.2,136.2145,BICARBONATADA CALCICA Y/O MAGNESICA
94,Lerdo,La Loma,-103.65114,25.47861,153.0,2018-02-08,7.205,873.5,5.12,0.6395,64.061,5.59,,104.266,18.37,10.604000000000001,27.761,0.0,306.90000000000003,306.90000000000003,121.11349999999999,BICARBONATADA CALCICA Y/O MAGNESICA
95,Lerdo ,León Guzmán,-103.612927,25.526027,154.0,2018-02-08,7.525,2207.0,18.554000000000002,0.34450000000000003,255.555,8.15,,126.625,53.22,8.0756,14.184899999999999,0.0,297.00000000000006,297.00000000000006,163.6282,BICARBONATADA SODICA
96,Lerdo,Parque Raymundo,-103.54249,25.51222,155.0,2018-02-08,7.665,596.75,15.306000000000001,0.28700000000000003,45.454499999999996,4.62,,64.0985,14.35,9.06245,13.31155,0.0,207.9,207.9,131.63725,BICARBONATADA CALCICA Y/O MAGNESICA
97,Lerdo ,La Goleda,-103.60259,25.62241,156.0,2018-02-08,7.595000000000001,873.4000000000001,43.2085,0.7985,48.7055,4.83,,94.81649999999999,27.384999999999998,9.0115,13.1613,0.0,188.1,188.1,126.4596,BICARBONATADA CALCICA Y/O MAGNESICA
98,Panuco de Coronado,Fco. I. Madero,-103.28088,25.76333,157.0,2018-02-08,7.57,327.85,25.7015,0.4235,47.385,2.2249999999999996,,19.177500000000002,0.2585,4.26865,5.252,0.0,118.8,118.8,41.846199999999996,BICARBONATADA SODICA
99,Panuco de Coronado,Fco. I. Madero,-103.27444,25.77058,158.0,2018-02-08,8.06,440.35,26.214,0.45799999999999996,60.082499999999996,2.44,,35.906,0.845,8.1939,7.4293,0.0,133.65,133.65,75.31129999999999,BICARBONATADA SODICA
100,Panuco de Coronado,Fco. I. Madero,-103.269649,25.78075,159.0,2018-02-08,7.69,1254.5,9.1935,0.194,98.57249999999999,2.505,,158.7,7.984999999999999,30.2153,42.3473,0.0,178.20000000000002,178.20000000000002,342.7258,SULFATADA Y/O CLORURADAS CALCICAS Y/O MAGNESICAS
101,Gómez Palacio,Gómez Palacio,-103.33865,25.7674,160.0,2018-02-08,8.61,262.45,58.97,0.723,49.229,1.685,,9.126000000000001,0.06,3.2399500000000003,9.851049999999999,0.0,108.9,108.9,40.477450000000005,BICARBONATADA SODICA
102,Gómez Palacio,Venecia,-103.34911,25.77905,161.0,2018-02-08,7.62,726.05,45.2795,0.4315,56.829499999999996,4.27,,92.9555,5.76,26.18605,12.518699999999999,0.0,262.35,262.35,94.5574,BICARBONATADA CALCICA Y/O MAGNESICA
103,Gómez Palacio,Jiménez,-103.36044,25.82896,162.0,2018-02-08,7.7,733.9000000000001,44.7845,0.4361,51.491,4.45,,80.135,5.805,26.974600000000002,11.948699999999999,0.0,212.85000000000002,212.85000000000002,88.37305,BICARBONATADA CALCICA Y/O MAGNESICA
104,Tlahualilo,El Lucero,-103.40318,25.87694,163.0,2018-02-08,8.114999999999998,920.95,21.7155,0.5605,47.338499999999996,5.36,,144.895,8.774999999999999,17.043,57.495,0.0,138.6,138.6,277.3785,SULFATADA Y/O CLORURADAS CALCICAS Y/O MAGNESICAS
105,Tlahualilo,Horizonte,-103.41898,25.93697,164.0,2018-02-08,8.04,961.5,18.985500000000002,0.4575,49.673,5.875,,138.575,9.195,21.444499999999998,57.828,0.0,123.75,123.75,295.245,SULFATADA Y/O CLORURADAS CALCICAS Y/O MAGNESICAS
106,Tlahualilo,Ceceda,-103.40429,26.08368,165.0,2018-02-08,7.949999999999999,907.75,22.6585,0.5794999999999999,49.6325,5.380000000000001,,114.03999999999999,8.05,17.4949,44.78085,0.0,128.70000000000002,128.70000000000002,254.74005,SULFATADA Y/O CLORURADAS CALCICAS Y/O MAGNESICAS
107,Tlahualilo,Tlahualilo Centro,-103.43889,26.11098,166.0,2018-02-08,7.970000000000001,730.2,25.5695,0.7,59.285,4.779999999999999,,88.43299999999999,6.85,3.3874,24.3027,0.0,123.75,123.75,142.9339,SULFATADA Y/O CLORURADAS CALCICAS Y/O MAGNESICAS
108,Tlahualilo,Tlahualilo Sur,-103.44001,26.09906,167.0,2018-02-08,7.91,1008.95,17.354,0.542,57.0895,5.359999999999999,,146.465,10.155000000000001,16.767,58.39,0.0,138.6,138.6,290.76099999999997,SULFATADA Y/O CLORURADAS CALCICAS Y/O MAGNESICAS
109,Tlahualilo,Tlahualilo Norte,-103.43917,26.11619,168.0,2018-02-08,7.865,1008.0,17.3045,0.5265,49.1485,5.9,,156.5,10.07,26.189999999999998,114.20750000000001,0.0,138.6,138.6,370.9195,SULFATADA Y/O CLORURADAS CALCICAS Y/O MAGNESICAS
110,Tlahualilo,Tlahualilo,-103.44497,26.11106,169.0,2018-02-08,7.865,1013.5,17.266,0.519,50.513000000000005,5.695,,147.325,10.43,23.5955,60.5205,0.0,133.65,133.65,317.1915,SULFATADA Y/O CLORURADAS CALCICAS Y/O MAGNESICAS
111,Mapimi,Ceballos,-104.12503,26.52196,170.0,2018-02-08,9.38,709.25,7.8185,2.315,116.5,2.93,,2.017,0.055,10.60345,29.47625,19.800000000000004,128.70000000000002,148.50000000000003,151.54149999999998,CLORURADAS Y/O SULFATADAS SODICAS
